ts,gen_kw,fc_ghi,fc_dni,fc_dhi,fc_temp,fc_wind,fc_cloud,fc_rh,fc_pressure,fc_rain,sun_elev,sun_az,cs_ghi,csi,hour_sin,hour_cos,doy_sin,doy_cos,gen_lag_1,gen_lag_2,gen_lag_4,gen_lag_96,gen_lag_192,gen_roll_mean_4,gen_roll_max_96,capacity_kw
2020-01-01 00:00:00+09:30,0.0,0.0,0.0,0.0,29.8,17.6,20.0,26.0,949.8,0.0,-42.27893615131585,191.65150377506467,0.0,0.0,0.0,1.0,0.017213356155834685,0.9998518392091162,,,,,,,,3.8627140267690234
2020-01-01 00:15:00+09:30,0.0,0.0,0.0,0.0,29.5,16.900000000000002,34.0,26.25,949.6999999999999,0.0,-42.83692468230319,187.03116075057363,0.0,0.0,0.06540312923014306,0.9978589232386035,0.017213356155834685,0.9998518392091162,0.0,,,,,,,3.8627140267690234
2020-01-01 00:30:00+09:30,0.0,0.0,0.0,0.0,29.200000000000003,16.200000000000003,48.0,26.5,949.5999999999999,0.0,-43.11792155009446,182.332967847193,0.0,0.0,0.13052619222005157,0.9914448613738104,0.017213356155834685,0.9998518392091162,0.0,0.0,,,,,,3.8627140267690234
2020-01-01 00:45:00+09:30,0.0,0.0,0.0,0.0,28.900000000000002,15.5,62.0,26.75,949.5,0.0,-43.11693076840506,177.6083070653608,0.0,0.0,0.19509032201612825,0.9807852804032304,0.017213356155834685,0.9998518392091162,0.0,0.0,,,,,,3.8627140267690234
2020-01-01 01:00:00+09:30,0.0,0.0,0.0,0.0,28.6,14.8,76.0,27.0,949.4,0.0,-42.83396855245693,172.91043063419283,0.0,0.0,0.25881904510252074,0.9659258262890683,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
2020-01-01 01:15:00+09:30,0.0,0.0,0.0,0.0,28.35,14.475000000000001,67.75,27.5,949.3,0.0,-42.27406194111364,168.29069610569286,0.0,0.0,0.3214394653031616,0.9469301294951057,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
2020-01-01 01:30:00+09:30,0.0,0.0,0.0,0.0,28.1,14.15,59.5,28.0,949.2,0.0,-41.44681600017405,163.79512351380276,0.0,0.0,0.3826834323650898,0.9238795325112867,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
2020-01-01 01:45:00+09:30,0.0,0.0,0.0,0.0,27.85,13.825,51.25,28.5,949.1,0.0,-40.36563345187497,159.46182290236607,0.0,0.0,0.44228869021900125,0.8968727415326884,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
2020-01-01 02:00:00+09:30,0.0,0.0,0.0,0.0,27.6,13.5,43.0,29.0,949.0,0.0,-39.04672610324747,155.31958469728272,0.0,0.0,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
2020-01-01 02:15:00+09:30,0.0,0.0,0.0,0.0,27.3,13.075,35.0,29.25,949.025,0.0,-37.508070524184234,151.38763383118732,0.0,0.0,0.5555702330196022,0.8314696123025452,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
2020-01-01 02:30:00+09:30,0.0,0.0,0.0,0.0,27.0,12.65,27.0,29.5,949.05,0.0,-35.76843842291618,147.6763258294314,0.0,0.0,0.6087614290087207,0.7933533402912352,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
2020-01-01 02:45:00+09:30,0.0,0.0,0.0,0.0,26.7,12.225000000000001,19.0,29.75,949.075,0.0,-33.846586287912736,144.1884476167255,0.0,0.0,0.6593458151000688,0.7518398074789774,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
2020-01-01 03:00:00+09:30,0.0,0.0,0.0,0.0,26.4,11.8,11.0,30.0,949.1,0.0,-31.760640391226502,140.92078785462354,0.0,0.0,0.7071067811865476,0.7071067811865476,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
2020-01-01 03:15:00+09:30,0.0,0.0,0.0,0.0,26.125,11.475000000000001,8.25,30.25,949.2,0.0,-29.527677391797134,137.86571702446201,0.0,0.0,0.7518398074789774,0.6593458151000688,0.017213356155834685,0.9998518392091162,0.0,0.0,0.0,,,0.0,,3.8627140267690234
