date,clear,cloudy
2023-01-01,0.0028993501746144455,0.0
2023-01-02,0.0,0.0
2023-01-03,0.00332266954040527,0.0
2023-01-04,0.0,0.0032504375938747173
2023-01-05,0.0,0.0
2023-01-06,0.0,0.0016208144099537903
2023-01-07,0.0,0.0
2023-01-08,0.0,0.004984004310607905
2023-01-09,0.0,0.0
2023-01-10,0.008306673851013175,0.01661334770202634
2023-01-11,0.0,0.009229637612236866
2023-01-12,0.002704498463120567,0.0
2023-01-13,0.0,0.0
2023-01-14,0.014333084291944293,0.0
2023-01-15,0.01726485153347836,0.0
2023-01-16,0.018567859196382392,0.0
2023-01-17,0.02149962643791646,0.0
2023-01-18,0.017916355364930393,0.0
2023-01-19,0.004625677203309333,0.0
2023-01-20,0.008779014128815921,0.0
2023-01-21,0.018397268061568012,0.008306673851013175
2023-01-22,0.00885343001997842,0.008306673851013175
2023-01-23,0.009192477932264676,0.008306673851013175
2023-01-31,0.009192477932264676,0.00043719336057965186
2023-02-01,0.0,0.00043719336057965186
2023-02-02,0.0,0.00043719336057965186
2023-02-03,0.0,0.00043719336057965186
2023-02-04,0.0,0.00043719336057965186
2023-02-05,0.0018459275224473732,0.00043719336057965186
2023-02-06,0.010661173241889923,0.00043719336057965186
2023-02-07,0.013825620423228279,0.019423876448609757
2023-02-08,0.021440071453323682,0.019423876448609757
2023-02-09,0.011607681997022385,0.019423876448609757
2023-02-10,0.006861011225014868,0.019423876448609757
2023-02-11,0.008895298698732384,0.019423876448609757
2023-02-12,0.007856964467355742,0.019423876448609757
2023-02-13,0.0070658526720211575,0.0028105287465834267
2023-02-14,0.004296961388350102,0.0028105287465834267
2023-02-15,0.0032586271569734603,0.0028105287465834267
2023-02-16,0.01433419229165769,0.0028105287465834267
2023-02-17,0.023679200374047506,0.0028105287465834267
2023-02-18,0.027326032796443533,0.02179721183461353
2023-02-19,0.034940483826538936,0.02179721183461353
2023-02-20,0.04082437780433994,0.02179721183461353
2023-02-21,0.03632492946837448,0.02179721183461353
2023-02-22,0.04445486557787673,0.02179721183461353
2023-02-23,0.045641533270878616,0.02179721183461353
2023-02-24,0.046701959719944126,0.02179721183461353
2023-02-25,0.05696314506531333,0.01157361324875117
2023-02-26,0.044964616169405426,0.02516635227768181
2023-02-27,0.04417350437407084,0.008553004575655481
2023-02-28,0.04169917599291799,0.008553004575655481
2023-03-01,0.036952505220910474,0.00452552634486122
2023-03-02,0.039780309085085175,0.00452552634486122
2023-03-03,0.023166961383058845,0.00452552634486122
2023-03-04,0.011855745926360066,0.00452552634486122
2023-03-05,0.0,0.00452552634486122
2023-03-06,0.0,0.00452552634486122
2023-03-07,0.006362558694393065,0.00452552634486122
2023-03-08,0.003888230313240212,0.00452552634486122
2023-03-09,0.017320298668070014,0.00452552634486122
2023-03-10,0.011311215456698786,0.00452552634486122
2023-03-11,0.003726861070991118,0.00452552634486122
2023-03-12,0.003365701338338374,0.00452552634486122
2023-03-13,0.004810340268949361,0.00452552634486122
2023-03-14,0.006656267791396734,0.00452552634486122
2023-03-15,0.0011184852240546236,0.00452552634486122
2023-03-16,0.0048103402689493695,0.00452552634486122
2023-03-17,0.01224262739880326,0.00452552634486122
2023-03-18,0.033795078471702295,0.00452552634486122
2023-03-19,0.0417241762385785,0.00452552634486122
2023-03-20,0.02511082853655217,0.00452552634486122
2023-03-21,0.04541603128347325,0.00452552634486122
2023-03-22,0.030648611103894288,0.00452552634486122
2023-03-23,0.04172417623857852,0.00452552634486122
2023-03-24,0.03549417085031865,0.00452552634486122
2023-03-25,0.02643234483103156,0.00452552634486122
2023-03-26,0.015356779696347338,0.00452552634486122
2023-03-27,0.006294953677060252,0.010566743691052616
2023-03-29,0.023427468494774915,0.010566743691052616
2023-03-30,0.042414151582805024,0.009528409459675974
2023-03-31,0.03272303208995633,0.026141757161702313
2023-04-01,0.03272303208995633,0.015323763309220053
2023-04-02,0.031212727753408484,0.015323763309220053
2023-04-03,0.037961900257356684,0.02639932844390428
2023-04-04,0.025720486161126762,0.023630437160233227
2023-04-05,0.04502789024726548,0.042617120248263335
2023-04-06,0.04729334675208726,0.042617120248263335
2023-04-07,0.03256787947074574,0.042617120248263335
2023-04-08,0.025393933872143466,0.042617120248263335
2023-04-09,0.014444227432171572,0.042617120248263335
2023-04-10,0.0016066405715148592,0.042617120248263335
2023-04-11,0.02169720058326764,0.042617120248263335
2023-04-12,0.026619673976460635,0.026003772546237005
2023-04-13,0.04692487672338171,0.026492400419826024
2023-04-14,0.04383402133695821,0.026492400419826024
2023-04-15,0.04383402133695821,0.01374262195082907
2023-04-16,0.036879596717505334,0.01374262195082907
2023-04-17,0.024129818248508378,0.01374262195082907
2023-04-18,0.017175393629055496,0.01374262195082907
2023-04-19,0.008473163880375037,0.01374262195082907
2023-04-20,0.015593170038386325,0.01374262195082907
2023-04-21,0.020735396708061144,0.01374262195082907
2023-04-22,0.014010946447717157,0.01374262195082907
2023-04-23,0.037808444507376505,0.01374262195082907
2023-04-24,0.02322111481779241,0.01374262195082907
2023-04-25,0.018474444045784896,0.01374262195082907
2023-04-26,0.021030343692250486,0.007512616562569198
2023-04-27,0.02287627121469786,0.004743725278898143
2023-04-28,0.01180070608001364,0.0009098758091997624
2023-04-29,0.03773373663927426,0.0009098758091997624
2023-04-30,0.027198442974574636,0.0009098758091997624
2023-05-01,0.026793239372086188,0.0009098758091997624
2023-05-02,0.033608971762661095,0.0009098758091997624
2023-05-03,0.0413078402099416,0.0009098758091997624
2023-05-04,0.05305874468210657,0.0009098758091997624
2023-05-05,0.0567055771045026,0.0009098758091997624
2023-05-06,0.06605058518689241,0.011985440943883992
2023-05-07,0.04943723748486609,0.011985440943883992
2023-05-08,0.047006015869935414,0.011985440943883992
2023-05-09,0.03444470419279356,0.011985440943883992
2023-05-10,0.025935428540536168,0.011985440943883992
2023-05-11,0.015400134875836542,0.011985440943883992
2023-05-12,0.010942895248463628,0.011985440943883992
2023-05-13,0.008511673633532951,0.011985440943883992
2023-05-14,0.01745732239616252,0.03967435378059456
2023-05-15,0.02457732855417381,0.038443735432296317
2023-05-16,0.0261981429641276,0.038443735432296317
2023-05-17,0.017688867311870214,0.038443735432296317
2023-05-18,0.0132316276844973,0.038443735432296317
2023-05-19,0.004924953833484135,0.038443735432296317
2023-05-20,0.000771616907977557,0.038443735432296317
2023-05-21,0.007001622296237438,0.038443735432296317
2023-05-22,0.0007716169079775665,0.038443735432296317
2023-05-23,0.01323162768449732,0.038443735432296317
2023-05-24,0.01578752733096291,0.038443735432296317
2023-05-25,0.0183434269774285,0.038443735432296317
2023-05-26,0.008119828391566138,0.038443735432296317
2023-05-27,2.614617775843764e-05,0.038443735432296317
2023-05-28,0.006841878568333347,0.038443735432296317
2023-05-29,0.0008781127265803067,0.038443735432296317
2023-05-30,0.0,0.038443735432296317
2023-05-31,0.00468581601852025,0.038443735432296317
2023-06-01,0.0029818829208765295,0.038443735432296317
2023-06-02,0.02470702991583405,0.038443735432296317
2023-06-03,0.02300309681819033,0.038443735432296317
2023-06-04,0.03012310297620162,0.04951930056698055
2023-06-05,0.030549086250612558,0.04951930056698055
2023-06-06,0.040810271595981766,0.03290595286495422
2023-06-07,0.058400875045186124,0.05027445273525448
2023-06-09,0.04416086272916356,0.05027445273525448
2023-06-10,0.029677431399191885,0.05027445273525448
2023-06-11,0.029677431399191885,0.047131386953790044
2023-06-12,0.03152335892163926,0.058206952088474276
2023-06-13,0.0212997603357769,0.058206952088474276
2023-06-14,0.01107616174991454,0.058206952088474276
2023-06-15,0.01363206139638013,0.058206952088474276
2023-06-16,0.011928128298736409,0.058206952088474276
2023-06-17,0.014484027945201998,0.058206952088474276
2023-06-18,0.025559593079886228,0.058206952088474276
2023-06-19,0.017539356258218345,0.04990027823746111
2023-06-20,0.017539356258218345,0.04713138695379006
2023-06-21,0.017539356258218345,0.034777871995873046
2023-06-22,0.009445674044410645,0.034777871995873046
2023-06-23,0.009871657318821584,0.034777871995873046
2023-06-24,0.016687389709396493,0.034777871995873046
2023-06-25,0.024119676839250384,0.034777871995873046
2023-06-26,0.03865635607852343,0.026203240923859457
2023-06-27,0.03865635607852343,0.01857008116887439
2023-06-28,0.03865635607852343,0.008346482583012028
2023-06-29,0.03865635607852343,0.0
2023-06-30,0.03865635607852343,0.00255589964646559
2023-07-01,0.03865635607852343,0.0
2023-07-02,0.03865635607852343,0.0
2023-07-03,0.03865635607852343,0.0
2023-07-04,0.026302841120606414,0.0
2023-07-05,0.022468991650908033,0.0
2023-07-06,0.014375309437100333,0.0
2023-07-07,0.002021794479183322,0.0
2023-07-08,0.006707610497703572,0.0
2023-07-09,0.011393426516223822,0.0
2023-07-10,0.0,0.0
2023-07-11,0.0,0.0
2023-07-12,0.008306673851013175,0.0
2023-07-13,0.018690016164779635,0.0
2023-07-14,0.014536679239273056,0.0
2023-07-15,0.018690016164779645,0.0
2023-07-16,0.02076668462753294,0.0
2023-07-17,0.004153336925506609,0.0
2023-07-18,0.006230005388259904,0.0
2023-07-19,0.006230005388259904,0.0
2023-07-20,0.026996690015792822,0.0
2023-07-21,0.01661334770202636,0.0
2023-07-22,0.008306673851013196,0.0
2023-07-23,0.006230005388259912,0.0
2023-07-24,0.008306673851013207,0.0
2023-07-25,0.010383342313766501,0.0
2023-07-26,0.011390211871465073,0.0
2023-07-27,0.014450565395522556,0.0
2023-07-28,0.017773234935927827,0.005537782567342119
2023-07-29,0.024893241093939117,0.006412169288501403
2023-07-30,0.030268147703418225,0.0
2023-07-31,0.024038142315158353,0.0
2023-08-01,0.015731468464145186,0.0
2023-08-02,0.00519617479944556,0.0
2023-08-03,0.00681698920939935,0.0
2023-08-04,0.0,0.0
2023-08-05,0.0,0.0
2023-08-06,0.0,0.0
2023-08-07,0.01175090447216497,0.0
2023-08-08,0.007293664844792056,0.0
2023-08-09,0.008914479254745845,0.0
2023-08-10,0.010535293664699635,0.0
2023-08-11,0.010130090062211187,0.0
2023-08-12,0.02516121417356835,0.0
2023-08-13,0.034258999819916106,0.0
2023-08-14,0.027534549559572116,0.0
2023-08-15,0.026895574647955722,0.004153336925506588
2023-08-16,0.017204455155107032,0.0013844456418355324
2023-08-17,0.03144446747112961,0.020371128729865635
2023-08-18,0.016808899257439752,0.020371128729865635
2023-08-19,0.012062228485432236,0.020371128729865635
2023-08-20,0.007315557713424719,0.020371128729865635
2023-08-21,0.0065244459180901345,0.020371128729865635
2023-08-22,0.0037555546344190793,0.020371128729865635
2023-08-23,0.014831119769103309,0.020371128729865635
2023-08-24,0.004151110532086381,0.020371128729865635
2023-08-25,0.005337778225088267,0.020371128729865635
2023-08-26,0.014435563871436026,0.020371128729865635
2023-08-27,0.0037555546344190983,0.020371128729865635
2023-08-28,0.004942222327420984,0.020371128729865635
2023-08-29,0.0037831515575121734,0.020371128729865635
2023-08-30,0.004555865404118056,0.020371128729865635
2023-08-31,0.0072603638672386235,0.020371128729865635
2023-09-01,0.0,0.020371128729865635
2023-09-02,0.0,0.020371128729865635
2023-09-03,0.0,0.020371128729865635
2023-09-04,0.0,0.020371128729865635
2023-09-05,0.0007727138466058829,0.020371128729865635
2023-09-06,0.0068139311927972795,0.018860824393317786
2023-09-07,0.0,0.018860824393317786
2023-09-08,0.0003775760841369692,0.018860824393317786
2023-09-09,0.05927944520950307,0.017350520056769937
2023-09-10,0.04455397792816154,0.017350520056769937
2023-09-11,0.03171639106750483,0.017350520056769937
2023-09-12,0.020766684627532936,0.017350520056769937
2023-09-13,0.009691119492848715,0.017350520056769937
2023-09-14,0.02261261214998031,0.017350520056769937
2023-09-15,0.02815039471732243,0.017350520056769937
2023-09-16,0.022612612149980317,0.017350520056769937
2023-09-17,0.031842249762217174,0.017350520056769937
2023-09-18,0.026304467194875066,0.017350520056769937
2023-09-19,0.01707482958263822,0.017350520056769937
2023-09-20,0.03638223366877694,0.011120514668510065
2023-09-21,0.03453630614632957,0.011120514668510065
2023-09-22,0.023460741011645348,0.011120514668510065
2023-09-23,0.01976888596675061,0.011120514668510065
2023-09-24,0.027152596056540093,0.011120514668510065
2023-09-25,0.0142311033994085,0.011120514668510065
2023-09-26,0.038228161191224325,0.011120514668510065
2023-09-27,0.027032209478989187,0.011120514668510065
2023-09-28,0.02125365375654525,0.011120514668510065
2023-09-29,0.02811568867694744,0.011120514668510065
2023-09-30,0.03365347124428956,0.015273851594016653
